city,district,voivodeship,localization_y,localization_x,market,area,rent,rooms,floor,floors,state,build_yr,build_type,build_material,parking,parking_spots,kitchen,windows,ownership,transport,education,health,recreation,other,other2,additional_area,bathroom,installation,noise,heating,media,direction,price,url
Bydgoszcz,Fordon,kujawsko-pomorskie,53.1486874,18.162639,pierwotny,37.09,,2,4,4,,2021,apartamentowiec,,,1,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,242940,https://gratka.pl/nieruchomosci/nowe-mieszkanie-bydgoszcz-fordon/ob/18750187
Warszawa,Wola,mazowieckie,52.2331518369865,20.9970049055831,wtorny,68.56,,3,6,6,do remontu,1968,blok,ceg³a,brak miejsca parkingowego,,oddzielna,plastikowe/PCV,w³asnoœæ,autobus*metro,,,,,,,,,ciche,,,,795000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-wola-ul-twarda/ob/19034951
Gdañsk,Jasieñ,pomorskie,54.33426,18.54902,pierwotny,35.03,,2,1,4,,2022,,,,,,,,,,,,,,,,,,,,,303010,https://gratka.pl/nieruchomosci/nowe-mieszkanie-gdansk-jasien/ob/19234031
Bydgoszcz,Œródmieœcie,kujawsko-pomorskie,53.13196,18.01501,wtorny,37.50,,2,parter,4,,2020,apartamentowiec,ceg³a,,,,,,,,,,,,,,,,,,,297000,https://gratka.pl/nieruchomosci/mieszkanie-bydgoszcz-srodmiescie-ul-ignacego-paderewskiego/ob/18801427
Warszawa,Czechowice,mazowieckie,52.1824868,20.8842216,pierwotny,61.72,,3,2,2,,2020,,ceg³a,w gara¿u,1,w aneksie,,w³asnoœæ,,,,,,,,,,,,,,518500,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-czechowice-ul-bodycha/ob/19220623
Warszawa,Sady ¯oliborskie,mazowieckie,52.2598891,20.9659241,wtorny,59.84,,3,2,5,,2015,apartamentowiec,ceg³a,,,,,w³asnoœæ,,,,,,,balkon,,,,,,,865000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-sady-zoliborskie/ob/19307579
Warszawa,¯erañ,mazowieckie,52.32036,20.99752,wtorny,64.63,,3,5,5,,2018,blok,ceg³a,,,,,,,,,,,,balkon,,,,,,,549000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-zeran-ul-marywilska/ob/18748711
Warszawa,Œródmieœcie,mazowieckie,52.2297,21.0122,wtorny,160,2090,4,14,14,,2000,apartamentowiec,,w gara¿u,,w aneksie,plastikowe/PCV,,autobus*metro*tramwaj,przedszkole*szko³a podstawowa,przychodnia / szpital,,centrum handlowe,,,,,,,,,1650000,https://gratka.pl/nieruchomosci/mieszkanie-warszawa-srodmiescie-ul-zygmunta-slominskiego/ob/17999745
Wroc³aw,Kleczków,dolnoœl¹skie,51.1079,17.0385,wtorny,137.69,1330,7,1,10,œwie¿o po remoncie,2000,,,,,w aneksie,,w³asnoœæ,,,,,,,,,,ciche,,,,1190000,https://gratka.pl/nieruchomosci/mieszkanie-wroclaw-kleczkow-ul-trzebnicka/ob/14957516
Kraków,Mistrzejowice,ma³opolskie,50.0993844,20.0133325,pierwotny,59.08,,3,1,9,,2020,,,w gara¿u,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,478548,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-mistrzejowice-ul-os-piastow/ob/19283273
Warszawa,Bia³o³êka,mazowieckie,52.3289879,21.0076792,pierwotny,62,,4,parter,,,2022,,,,,,,,,,,,,,balkon,,,,,,,393105,https://gratka.pl/nieruchomosci/nowe-mieszkanie-warszawa-bialoleka/ob/19244051
Kraków,Os. Pr¹dnik Bia³y,ma³opolskie,50.10450594,19.95670795,pierwotny,57.91,,3,4,5,,2019,,,brak miejsca parkingowego,,w aneksie,,w³asnoœæ,,,,,,,balkon,,,,,,,467827,https://gratka.pl/nieruchomosci/nowe-mieszkanie-krakow-os-pradnik-bialy-ul-29-listopada/ob/19272115
Koœcierzyna,koœcierski,pomorskie,54.12731,17.97913,wtorny,52.74,,3,2,3,,,blok,p³yta,,,,,,,,,,,,balkon*piwnica,,,,,,,329000,https://gratka.pl/nieruchomosci/mieszkanie-koscierzyna-ul-kartuska/ob/19280805
Gdynia,D¹browa,pomorskie,54.47650935,18.46519184,wtorny,157.90,,5,1,2,dobry,1989,,ceg³a,,1,oddzielna,,w³asnoœæ,,,,,,,balkon*piwnica,,,,,,,675000,https://gratka.pl/nieruchomosci/mieszkanie-gdynia-dabrowa-ul-koperkowa/ob/19032477
